timestamp,alert_type,region_id,detail,region_pixels,closest_mm,center_x,center_y
2026-05-21T16:21:02.352841,WARNING,WARNING_98_158_178,DANGEROUS region | TOO CLOSE | sensor range invalid,178,-1,98,158
2026-05-21T16:21:02.352841,WARNING,WARNING_97_154_150,"HOT region | MIXED RANGE | closest=-1mm | center=(97,154)",150,-1,97,154
2026-05-21T16:21:02.448719,CRITICAL,CRITICAL_125_171_317,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(125,171)",317,-1,125,171
2026-05-21T16:21:02.448719,WARNING,WARNING_126_171_178,"HOT region | MIXED RANGE | closest=-1mm | center=(126,171)",178,-1,126,171
2026-05-21T16:21:04.917175,CRITICAL,CRITICAL_54_69_318,"DANGEROUS region in valid range | closest=582mm | center=(54,69)",318,582,54,69
2026-05-21T16:21:04.917175,WARNING,WARNING_51_67_187,"HOT region in valid range | closest=526mm | center=(51,67)",187,526,51,67
2026-05-21T16:21:04.985010,CRITICAL,CRITICAL_58_72_163,"DANGEROUS region in valid range | closest=619mm | center=(58,72)",163,619,58,72
2026-05-21T16:21:04.985010,WARNING,WARNING_57_71_169,"HOT region in valid range | closest=530mm | center=(57,71)",169,530,57,71
2026-05-21T16:21:05.024040,WARNING,WARNING_71_78_51,"HOT region in valid range | closest=860mm | center=(71,78)",51,860,71,78
2026-05-21T16:21:05.024040,WARNING,WARNING_62_89_5,"HOT region in valid range | closest=572mm | center=(62,89)",5,572,62,89
2026-05-21T16:21:05.116784,CRITICAL,CRITICAL_62_89_111,"DANGEROUS region in valid range | closest=493mm | center=(62,89)",111,493,62,89
2026-05-21T16:21:05.116784,WARNING,WARNING_55_89_181,"HOT region in valid range | closest=442mm | center=(55,89)",181,442,55,89
2026-05-21T16:21:05.116784,WARNING,WARNING_53_101_7,"HOT region in valid range | closest=481mm | center=(53,101)",7,481,53,101
2026-05-21T16:21:05.185162,CRITICAL,CRITICAL_61_92_38,"DANGEROUS region in valid range | closest=518mm | center=(61,92)",38,518,61,92
2026-05-21T16:21:05.185162,WARNING,WARNING_52_94_194,"HOT region in valid range | closest=426mm | center=(52,94)",194,426,52,94
2026-05-21T16:21:05.185162,WARNING,WARNING_49_104_7,"HOT region in valid range | closest=455mm | center=(49,104)",7,455,49,104
2026-05-21T16:21:05.252821,CRITICAL,CRITICAL_34_107_83,"DANGEROUS region in valid range | closest=419mm | center=(34,107)",83,419,34,107
2026-05-21T16:21:05.252821,WARNING,WARNING_33_108_57,"HOT region in valid range | closest=418mm | center=(33,108)",57,418,33,108
2026-05-21T16:21:05.321128,CRITICAL,CRITICAL_46_109_530,"DANGEROUS region in valid range | closest=422mm | center=(46,109)",530,422,46,109
2026-05-21T16:21:05.321128,WARNING,WARNING_45_111_149,"HOT region in valid range | closest=416mm | center=(45,111)",149,416,45,111
2026-05-21T16:21:05.321128,WARNING,WARNING_54_104_7,"HOT region in valid range | closest=470mm | center=(54,104)",7,470,54,104
2026-05-21T16:21:05.321128,WARNING,WARNING_55_112_6,"HOT region in valid range | closest=454mm | center=(55,112)",6,454,55,112
2026-05-21T16:21:05.389342,CRITICAL,CRITICAL_56_107_874,"DANGEROUS region in valid range | closest=433mm | center=(56,107)",874,433,56,107
2026-05-21T16:21:05.389342,WARNING,WARNING_56_110_263,"HOT region in valid range | closest=428mm | center=(56,110)",263,428,56,110
2026-05-21T16:21:05.457455,CRITICAL,CRITICAL_84_96_1383,"DANGEROUS region in valid range | closest=457mm | center=(84,96)",1383,457,84,96
2026-05-21T16:21:05.457455,WARNING,WARNING_80_101_493,"HOT region in valid range | closest=453mm | center=(80,101)",493,453,80,101
2026-05-21T16:21:05.525837,CRITICAL,CRITICAL_115_83_1239,"DANGEROUS region in valid range | closest=903mm | center=(115,83)",1239,903,115,83
2026-05-21T16:21:05.525837,WARNING,WARNING_100_91_593,"HOT region in valid range | closest=527mm | center=(100,91)",593,527,100,91
2026-05-21T16:21:05.525837,WARNING,WARNING_63_122_26,"HOT region in valid range | closest=456mm | center=(63,122)",26,456,63,122
2026-05-21T16:21:05.593573,CRITICAL,CRITICAL_122_77_1136,"DANGEROUS region in valid range | closest=902mm | center=(122,77)",1136,902,122,77
2026-05-21T16:21:05.593573,WARNING,WARNING_111_83_448,"HOT region in valid range | closest=900mm | center=(111,83)",448,900,111,83
2026-05-21T16:21:05.661191,CRITICAL,CRITICAL_123_65_1028,"DANGEROUS region in valid range | closest=877mm | center=(123,65)",1028,877,123,65
